 ICs: , delta0=0 , phi0=0.5236 , phid=0 , Nonlinear EOM,,,,
 success, balance_score, k1, k2, k3, r*Q=R,e1,e2,e3
0,9.3693,6.9764,1.6015,-5.9905,0.1,-4.3592+0.11871i,-4.3592-0.11871i,-0.28435
0,9.5882,7.0016,1.6074,-5.996,0.11233,-4.3591+0.12585i,-4.3591-0.12585i,-0.30136
0,9.9106,7.0282,1.6137,-6.0019,0.12619,-4.359+0.13343i,-4.359-0.13343i,-0.31939
0,10.218,7.0564,1.6204,-6.0082,0.14175,-4.3588+0.14146i,-4.3588-0.14146i,-0.3385
0,10.758,7.0862,1.6275,-6.0147,0.15923,-4.3587+0.14999i,-4.3587-0.14999i,-0.35874
0,11.425,7.1178,1.635,-6.0217,0.17886,-4.3585+0.15903i,-4.3585-0.15903i,-0.3802
0,12.842,7.1513,1.643,-6.029,0.20092,-4.3583+0.16863i,-4.3583-0.16863i,-0.40293
1,13.324,7.1867,1.6515,-6.0367,0.2257,-4.358+0.17882i,-4.358-0.17882i,-0.42702
1,11.544,7.2241,1.6604,-6.0448,0.25354,-4.3578+0.18964i,-4.3578-0.18964i,-0.45255
1,10.612,7.2638,1.67,-6.0533,0.2848,-4.3575+0.20113i,-4.3575-0.20113i,-0.47959
1,9.9454,7.3057,1.6801,-6.0623,0.31993,-4.3571+0.21333i,-4.3571-0.21333i,-0.50825
1,9.4144,7.3501,1.6908,-6.0718,0.35938,-4.3568+0.22629i,-4.3568-0.22629i,-0.53861
1,8.9685,7.3971,1.7021,-6.0818,0.4037,-4.3564+0.24007i,-4.3564-0.24007i,-0.57077
1,8.5818,7.4468,1.7142,-6.0923,0.45349,-4.3559+0.25471i,-4.3559-0.25471i,-0.60484
1,8.2392,7.4994,1.727,-6.1033,0.50941,-4.3554+0.27028i,-4.3554-0.27028i,-0.64092
1,7.9311,7.555,1.7405,-6.1149,0.57224,-4.3548+0.28685i,-4.3548-0.28685i,-0.67914
1,7.651,7.6138,1.7549,-6.1271,0.64281,-4.3542+0.30449i,-4.3542-0.30449i,-0.71961
1,7.3942,7.6761,1.7702,-6.1399,0.72208,-4.3535+0.32326i,-4.3535-0.32326i,-0.76246
1,7.1573,7.7418,1.7864,-6.1533,0.81113,-4.3528+0.34327i,-4.3528-0.34327i,-0.80782
1,6.9376,7.8114,1.8035,-6.1673,0.91116,-4.352+0.36461i,-4.352-0.36461i,-0.85582
1,6.733,7.8849,1.8217,-6.1821,1.0235,-4.3511+0.38738i,-4.3511-0.38738i,-0.90661
1,6.5418,7.9627,1.8411,-6.1975,1.1498,-4.3501+0.41169i,-4.3501-0.41169i,-0.96034
1,6.3627,8.0448,1.8616,-6.2137,1.2915,-4.3491+0.43768i,-4.3491-0.43768i,-1.0171
1,6.1946,8.1317,1.8833,-6.2306,1.4508,-4.348+0.46548i,-4.348-0.46548i,-1.0772
1,6.0364,8.2235,1.9064,-6.2483,1.6298,-4.3468+0.49527i,-4.3468-0.49527i,-1.1405
1,5.8874,8.3204,1.9309,-6.2668,1.8307,-4.3456+0.52721i,-4.3456-0.52721i,-1.2074
1,5.7469,8.4229,1.9568,-6.286,2.0565,-4.3444+0.56151i,-4.3444-0.56151i,-1.2779
1,5.6142,8.5311,1.9844,-6.3062,2.3101,-4.3433+0.59841i,-4.3433-0.59841i,-1.3521
1,5.489,8.6454,2.0136,-6.3271,2.595,-4.3423+0.63815i,-4.3423-0.63815i,-1.43
1,5.3705,8.7661,2.0445,-6.349,2.9151,-4.3415+0.68102i,-4.3415-0.68102i,-1.5118
1,5.2586,8.8936,2.0774,-6.3717,3.2745,-4.341+0.72734i,-4.341-0.72734i,-1.5972
1,5.1527,9.0282,2.1123,-6.3953,3.6784,-4.3411+0.77746i,-4.3411-0.77746i,-1.6862
1,5.0527,9.1703,2.1492,-6.4198,4.132,-4.342+0.83177i,-4.342-0.83177i,-1.7784
1,4.9643,9.3203,2.1884,-6.4453,4.6416,-4.3441+0.89064i,-4.3441-0.89064i,-1.8735
1,4.8806,9.4786,2.23,-6.4716,5.214,-4.3478+0.95448i,-4.3478-0.95448i,-1.9706
1,4.8016,9.6457,2.2741,-6.4989,5.857,-4.3538+1.0236i,-4.3538-1.0236i,-2.0689
1,4.727,9.822,2.3208,-6.5272,6.5793,-4.3628+1.0983i,-4.3628-1.0983i,-2.1671
1,4.6564,10.008,2.3704,-6.5564,7.3907,-4.3756+1.1787i,-4.3756-1.1787i,-2.2638
1,4.5899,10.204,2.4229,-6.5865,8.3022,-4.3933+1.2647i,-4.3933-1.2647i,-2.3574
1,4.5292,10.411,2.4786,-6.6176,9.326,-4.4167+1.3559i,-4.4167-1.3559i,-2.4464
1,4.4757,10.63,2.5377,-6.6496,10.476,-4.4467+1.4518i,-4.4467-1.4518i,-2.5294
1,4.4253,10.86,2.6003,-6.6825,11.768,-4.484+1.5516i,-4.484-1.5516i,-2.6055
1,4.3778,11.103,2.6666,-6.7163,13.219,-4.529+1.6545i,-4.529-1.6545i,-2.6741
1,4.3333,11.359,2.737,-6.751,14.85,-4.582+1.7597i,-4.582-1.7597i,-2.7352
1,4.2914,11.63,2.8115,-6.7866,16.681,-4.643+1.8665i,-4.643-1.8665i,-2.789
1,4.2552,11.915,2.8905,-6.823,18.738,-4.7119+1.9742i,-4.7119-1.9742i,-2.8361
1,4.2233,12.215,2.9742,-6.8602,21.049,-4.7887+2.0822i,-4.7887-2.0822i,-2.8771
1,4.1934,12.532,3.0629,-6.8981,23.645,-4.8733+2.1902i,-4.8733-2.1902i,-2.9128
1,4.1655,12.866,3.1569,-6.9369,26.561,-4.9656+2.2978i,-4.9656-2.2978i,-2.9438
1,4.1394,13.219,3.2565,-6.9763,29.836,-5.0656+2.4047i,-5.0656-2.4047i,-2.9707
1,4.1162,13.59,3.362,-7.0164,33.516,-5.1732+2.5106i,-5.1732-2.5106i,-2.994
1,4.0977,13.982,3.4738,-7.0571,37.649,-5.2885+2.6152i,-5.2885-2.6152i,-3.0144
1,4.0806,14.395,3.5923,-7.0984,42.292,-5.4117+2.7184i,-5.4117-2.7184i,-3.0321
1,4.0648,14.831,3.7178,-7.1402,47.508,-5.5428+2.8197i,-5.5428-2.8197i,-3.0476
1,4.0502,15.291,3.8507,-7.1825,53.367,-5.6822+2.919i,-5.6822-2.919i,-3.0611
1,4.0367,15.776,3.9915,-7.2252,59.948,-5.8301+3.0157i,-5.8301-3.0157i,-3.073
1,4.0271,16.287,4.1407,-7.2683,67.342,-5.9867+3.1096i,-5.9867-3.1096i,-3.0834
1,4.0187,16.827,4.2986,-7.3117,75.646,-6.1524+3.2i,-6.1524-3.2i,-3.0925
1,4.0112,17.396,4.466,-7.3553,84.975,-6.3276+3.2865i,-6.3276-3.2865i,-3.1005
1,4.0044,17.996,4.6433,-7.3991,95.455,-6.5127+3.3683i,-6.5127-3.3683i,-3.1076
1,3.9983,18.63,4.831,-7.443,107.23,-6.7081+3.4448i,-6.7081-3.4448i,-3.1138
1,3.9932,19.299,5.0299,-7.487,120.45,-6.9144+3.5149i,-6.9144-3.5149i,-3.1193
1,3.9903,20.005,5.2406,-7.531,135.3,-7.1321+3.5776i,-7.1321-3.5776i,-3.1242
1,3.9879,20.75,5.4637,-7.5749,151.99,-7.3618+3.6318i,-7.3618-3.6318i,-3.1285
1,3.986,21.537,5.7001,-7.6187,170.74,-7.6041+3.6758i,-7.6041-3.6758i,-3.1323
1,3.9845,22.368,5.9504,-7.6623,191.79,-7.8596+3.708i,-7.8596-3.708i,-3.1357
1,3.9834,23.245,6.2156,-7.7056,215.44,-8.1292+3.7262i,-8.1292-3.7262i,-3.1386
1,3.9828,24.172,6.4965,-7.7487,242.01,-8.4136+3.7279i,-8.4136-3.7279i,-3.1413
1,3.9829,25.151,6.794,-7.7914,271.86,-8.7135+3.7097i,-8.7135-3.7097i,-3.1436
1,3.9834,26.185,7.1091,-7.8336,305.39,-9.03+3.6679i,-9.03-3.6679i,-3.1457
1,3.9841,27.277,7.443,-7.8754,343.05,-9.364+3.5971i,-9.364-3.5971i,-3.1475
1,3.9851,28.432,7.7966,-7.9167,385.35,-9.7164+3.4906i,-9.7164-3.4906i,-3.1492
1,3.9865,29.653,8.1712,-7.9574,432.88,-10.088+3.3388i,-10.088-3.3388i,-3.1506
1,3.9881,30.943,8.568,-7.9975,486.26,-10.481+3.1279i,-10.481-3.1279i,-3.1519
1,3.99,32.307,8.9884,-8.0369,546.23,-10.895+2.8354i,-10.895-2.8354i,-3.1531
1,3.9922,33.749,9.4338,-8.0756,613.59,-11.333+2.4197i,-11.333-2.4197i,-3.1541
1,3.9946,35.274,9.9056,-8.1136,689.26,-11.795+1.7784i,-11.795-1.7784i,-3.155
1,3.9959,36.888,10.405,-8.1508,774.26,-12.622,-11.946,-3.1558
1,3.9973,38.594,10.935,-8.1872,869.75,-14.815,-10.784,-3.1565
1,3.9989,40.399,11.496,-8.2227,977.01,-16.309,-10.381,-3.1571
1,4.0007,42.309,12.09,-8.2575,1097.5,-17.714,-10.127,-3.1577
1,4.0027,44.33,12.72,-8.2913,1232.8,-19.113,-9.9467,-3.1582
1,4.005,46.469,13.388,-8.3243,1384.9,-20.538,-9.8093,-3.1587
1,4.0076,48.733,14.095,-8.3563,1555.7,-22.008,-9.701,-3.1591
1,4.0107,51.129,14.844,-8.3874,1747.5,-23.535,-9.6134,-3.1594
1,4.0145,53.665,15.638,-8.4177,1963,-25.131,-9.5412,-3.1597
1,4.0191,56.35,16.479,-8.4469,2205.1,-26.802,-9.481,-3.16
1,4.0252,59.193,17.37,-8.4753,2477.1,-28.557,-9.4302,-3.1603
1,4.0335,62.203,18.314,-8.5027,2782.6,-30.404,-9.387,-3.1605
1,4.042,65.391,19.315,-8.5292,3125.7,-32.35,-9.35,-3.1607
1,4.0444,68.767,20.376,-8.5548,3511.2,-34.402,-9.3182,-3.1609
1,4.0478,72.342,21.499,-8.5795,3944.2,-36.568,-9.2906,-3.161
1,4.0526,76.128,22.69,-8.6033,4430.6,-38.856,-9.2667,-3.1611
1,4.0553,80.139,23.952,-8.6261,4977,-41.273,-9.2459,-3.1613
1,4.0574,84.387,25.29,-8.6481,5590.8,-43.829,-9.2277,-3.1614
1,4.0598,88.887,26.707,-8.6693,6280.3,-46.532,-9.2118,-3.1615
1,4.0626,93.654,28.209,-8.6896,7054.8,-49.391,-9.1978,-3.1616
1,4.0664,98.704,29.801,-8.7091,7924.8,-52.417,-9.1855,-3.1616
1,4.0733,104.05,31.488,-8.7278,8902.2,-55.619,-9.1747,-3.1617
1,4.0846,109.72,33.276,-8.7457,10000,-59.01,-9.1651,-3.1618
